 # NeoMom v0
 # 2026-06-28, T17:25:55
# /home/john/Ant_neomom_to_git/AntennaModeling_neoMoM/input_gui/junk.nml
# &RunTitle
#    title = 'test 4'
# /
# &Frequency_MHz
#    fmin  = 7.0
#    fmax  = 7.0
#    nFreq = 1
# /
# &Ground
#    Ground_Plane = 'real'
#    epsilon = 14.0
#    sigma = 0.005
# /
# &OPTIONS
#    NBASISPERLAMBDA = 40
#    Output_Currents = .FALSE.
# /
# &node_input
#    zHeight = 10.0
#    nNodes = 3
#    units = 'meters'
#  node_list(1) = 'A', 0.0, 0.0, 0.0
#  node_list(2) = 'B', 10.0, 0.0, 0.0
#  node_list(3) = 'C', 20.0, 0.0, 0.0
# /
# &wire_primitive
#    tag   = 'W1',
#    nNodes = 3,
#    nodeTags = 'A' 'B' 'C'
#    radius     = 0.001
# /
# &excitation_input
#    wireTag = 'W1'
#    nodeTag = 'B'
#    voltage = 1.0
#    phase_deg = 0.0
# /
# 
# filename        : /home/john/Ant_neomom_to_git/AntennaModeling_neoMoM/input_gui/junk.csv
# title           : test 4
 # frequency_MHz   :   7.000000    
 # wavelength_m    :   42.82749    
 #
 # input impedance :  (71.35602,-48.30164)
 # SWR             :    2.357587    
 #
 # gain_peak_dBi   :    6.034438    
 # e_theta_max     :   0.0000000E+00  0.0000000E+00
 # e_phi_max       :    20.00000       90.00000    
 # e_total_max     :    20.00000       90.00000    
 #
 # ground_type     : REAL      
 # height above ground :    10.00000    
 #
 # theta_start     :   0.0000000E+00
 # theta_stop      :    90.00000    
 # theta_step      :    5.000000    
 # nTheta          :           19
 # phi_start       :   0.0000000E+00
 # phi_stop        :    360.0000    
 # phi_step        :    5.000000    
 # nPhi            :           73
 #
 # theta_deg, phi_deg, re_Etheta, im_Etheta, re_Ephi, im_Ephi
   25.00       290.0       3.707       2.787       11.42       8.934    
   25.00       295.0       4.392       3.661       10.54       9.135    
   25.00       300.0       4.970       4.563       9.618       9.178    
   25.00       305.0       5.440       5.473       8.666       9.061    
   25.00       310.0       5.809       6.370       7.708       8.786    
   25.00       315.0       6.086       7.234       6.764       8.361    
   25.00       320.0       6.281       8.046       5.847       7.795    
   25.00       325.0       6.409       8.793       4.970       7.101    
   25.00       330.0       6.483       9.462       4.138       6.295    
   25.00       335.0       6.518       10.04       3.354       5.392    
   25.00       340.0       6.525       10.53       2.618       4.409    
   25.00       345.0       6.518       10.91       1.923       3.362    
   25.00       350.0       6.505       11.18       1.262       2.268    
   25.00       355.0       6.495       11.35      0.6246       1.142    
   25.00       360.0       6.491       11.40     -0.1247E-05 -0.2293E-05
   30.00       0.000       4.988       11.07       0.000       0.000    
   30.00       5.000       5.001       11.01     -0.4904      -1.178    
   30.00       10.00       5.041       10.86     -0.9978      -2.341    
   30.00       15.00       5.102       10.60      -1.538      -3.475    
   30.00       20.00       5.175       10.24      -2.127      -4.565    
   30.00       25.00       5.249       9.786      -2.775      -5.592    
   30.00       30.00       5.310       9.233      -3.490      -6.540    
   30.00       35.00       5.343       8.591      -4.278      -7.391    
   30.00       40.00       5.330       7.867      -5.136      -8.125    
   30.00       45.00       5.253       7.074      -6.059      -8.725    
   30.00       50.00       5.097       6.226      -7.035      -9.173    
   30.00       55.00       4.846       5.341      -8.047      -9.455    
   30.00       60.00       4.488       4.439      -9.072      -9.562    
   30.00       65.00       4.015       3.544      -10.09      -9.486    
   30.00       70.00       3.425       2.679      -11.06      -9.230    
   30.00       75.00       2.717       1.870      -11.95      -8.799    
   30.00       80.00       1.902       1.141      -12.75      -8.208    
   30.00       85.00      0.9900      0.5115      -13.41      -7.477    
   30.00       90.00     -0.5121E-06 -0.2244E-06  -13.92      -6.633    
   30.00       95.00      -1.047     -0.3811      -14.26      -5.706    
   30.00       100.0      -2.128     -0.6247      -14.40      -4.730    
   30.00       105.0      -3.217     -0.7300      -14.36      -3.742    
   30.00       110.0      -4.291     -0.7019      -14.13      -2.775    
   30.00       115.0      -5.327     -0.5510      -13.72      -1.861    
   30.00       120.0      -6.306     -0.2926      -13.14      -1.028    
   30.00       125.0      -7.212      0.5433E-01  -12.41     -0.3004    
   30.00       130.0      -8.033      0.4683      -11.56      0.3063    
   30.00       135.0      -8.763      0.9264      -10.59      0.7811    
   30.00       140.0      -9.398       1.406      -9.547       1.120    
   30.00       145.0      -9.940       1.884      -8.436       1.324    
   30.00       150.0      -10.39       2.342      -7.280       1.400    
   30.00       155.0      -10.76       2.760      -6.093       1.359    
   30.00       160.0      -11.04       3.123      -4.887       1.216    
   30.00       165.0      -11.26       3.419      -3.670      0.9883    
   30.00       170.0      -11.41       3.637      -2.448      0.6957    
   30.00       175.0      -11.49       3.770      -1.224      0.3590    
   30.00       180.0      -11.52       3.815      0.1227E-05 -0.3633E-06
   30.00       185.0      -11.49       3.770       1.224     -0.3590    
   30.00       190.0      -11.41       3.637       2.448     -0.6957    
   30.00       195.0      -11.26       3.419       3.670     -0.9883    
   30.00       200.0      -11.04       3.123       4.887      -1.216    
   30.00       205.0      -10.76       2.760       6.093      -1.359    
   30.00       210.0      -10.39       2.342       7.280      -1.400    
   30.00       215.0      -9.940       1.884       8.436      -1.324    
   30.00       220.0      -9.398       1.406       9.547      -1.120    
   30.00       225.0      -8.763      0.9264       10.59     -0.7811    
   30.00       230.0      -8.033      0.4683       11.56     -0.3062    
   30.00       235.0      -7.212      0.5433E-01   12.41      0.3004    
   30.00       240.0      -6.306     -0.2926       13.14       1.028    
   30.00       245.0      -5.327     -0.5510       13.72       1.861    
   30.00       250.0      -4.291     -0.7019       14.13       2.775    
   30.00       255.0      -3.217     -0.7300       14.36       3.742    
   30.00       260.0      -2.128     -0.6247       14.40       4.730    
   30.00       265.0      -1.047     -0.3810       14.26       5.706    
   30.00       270.0      0.1397E-06  0.6121E-07   13.92       6.633    
   30.00       275.0      0.9900      0.5115       13.41       7.477    
   30.00       280.0       1.902       1.141       12.75       8.208    
   30.00       285.0       2.717       1.870       11.95       8.799    
   30.00       290.0       3.425       2.679       11.06       9.230    
   30.00       295.0       4.015       3.544       10.08       9.486    
   30.00       300.0       4.488       4.439       9.073       9.562    
   30.00       305.0       4.846       5.341       8.047       9.455    
   30.00       310.0       5.097       6.226       7.035       9.173    
   30.00       315.0       5.253       7.074       6.059       8.725    
   30.00       320.0       5.330       7.867       5.136       8.125    
   30.00       325.0       5.343       8.591       4.278       7.391    
   30.00       330.0       5.310       9.233       3.490       6.540    
   30.00       335.0       5.249       9.786       2.775       5.592    
   30.00       340.0       5.175       10.24       2.127       4.565    
   30.00       345.0       5.102       10.60       1.538       3.475    
   30.00       350.0       5.041       10.86      0.9978       2.341    
   30.00       355.0       5.001       11.01      0.4904       1.178    
   30.00       360.0       4.988       11.07     -0.9767E-06 -0.2365E-05
   35.00       0.000       3.683       10.39       0.000       0.000    
   35.00       5.000       3.704       10.34     -0.3599      -1.188    
   35.00       10.00       3.766       10.20     -0.7410      -2.364    
   35.00       15.00       3.863       9.972      -1.163      -3.515    
   35.00       20.00       3.986       9.649      -1.645      -4.626    
   35.00       25.00       4.122       9.234      -2.203      -5.681    
   35.00       30.00       4.257       8.727      -2.847      -6.661    
   35.00       35.00       4.374       8.134      -3.585      -7.548    
   35.00       40.00       4.453       7.459      -4.418      -8.318    
   35.00       45.00       4.474       6.713      -5.341      -8.951    
   35.00       50.00       4.418       5.908      -6.341      -9.426    
   35.00       55.00       4.268       5.062      -7.399      -9.723    
   35.00       60.00       4.008       4.196      -8.491      -9.828    
   35.00       65.00       3.630       3.335      -9.584      -9.732    
   35.00       70.00       3.127       2.504      -10.64      -9.433    
   35.00       75.00       2.502       1.731      -11.63      -8.937    
   35.00       80.00       1.762       1.040      -12.51      -8.259    
   35.00       85.00      0.9213      0.4572      -13.25      -7.423    
   35.00       90.00     -0.4779E-06 -0.1949E-06  -13.82      -6.460    
   35.00       95.00     -0.9782     -0.3176      -14.20      -5.407    
   35.00       100.0      -1.987     -0.4887      -14.36      -4.304    
   35.00       105.0      -2.998     -0.5134      -14.32      -3.194    
   35.00       110.0      -3.986     -0.3984      -14.06      -2.119    
   35.00       115.0      -4.927     -0.1570      -13.61      -1.116    
   35.00       120.0      -5.800      0.1924      -12.99     -0.2179    
   35.00       125.0      -6.591      0.6280      -12.21      0.5501    
   35.00       130.0      -7.291       1.125      -11.30       1.170    
   35.00       135.0      -7.894       1.659      -10.29       1.632    
   35.00       140.0      -8.402       2.205      -9.218       1.933    
   35.00       145.0      -8.819       2.740      -8.093       2.078    
   35.00       150.0      -9.153       3.244      -6.940       2.076    
   35.00       155.0      -9.411       3.698      -5.775       1.942    
   35.00       160.0      -9.606       4.088      -4.608       1.695    
   35.00       165.0      -9.745       4.404      -3.446       1.354    
   35.00       170.0      -9.838       4.635      -2.291      0.9427    
   35.00       175.0      -9.891       4.775      -1.144      0.4834    
   35.00       180.0      -9.908       4.823      0.1145E-05 -0.4882E-06
   35.00       185.0      -9.891       4.775       1.144     -0.4834    
   35.00       190.0      -9.838       4.635       2.291     -0.9427    
   35.00       195.0      -9.745       4.404       3.446      -1.354    
   35.00       200.0      -9.606       4.088       4.608      -1.695    
   35.00       205.0      -9.411       3.698       5.775      -1.942    
   35.00       210.0      -9.153       3.244       6.940      -2.076    
   35.00       215.0      -8.819       2.740       8.093      -2.078    
   35.00       220.0      -8.402       2.205       9.218      -1.933    
   35.00       225.0      -7.894       1.659       10.29      -1.632    
   35.00       230.0      -7.291       1.125       11.30      -1.170    
   35.00       235.0      -6.591      0.6280       12.21     -0.5501    
   35.00       240.0      -5.800      0.1924       12.99      0.2179    
   35.00       245.0      -4.927     -0.1570       13.61       1.116    
   35.00       250.0      -3.986     -0.3984       14.06       2.119    
   35.00       255.0      -2.998     -0.5134       14.32       3.194    
   35.00       260.0      -1.987     -0.4887       14.36       4.304    
   35.00       265.0     -0.9782     -0.3176       14.20       5.407    
   35.00       270.0      0.1304E-06  0.5318E-07   13.82       6.460    
   35.00       275.0      0.9213      0.4572       13.25       7.423    
   35.00       280.0       1.762       1.040       12.51       8.259    
   35.00       285.0       2.502       1.731       11.63       8.937    
   35.00       290.0       3.127       2.504       10.64       9.433    
   35.00       295.0       3.630       3.335       9.584       9.732    
   35.00       300.0       4.008       4.196       8.491       9.828    
   35.00       305.0       4.268       5.062       7.399       9.723    
   35.00       310.0       4.418       5.908       6.341       9.426    
   35.00       315.0       4.474       6.713       5.341       8.951    
   35.00       320.0       4.453       7.459       4.418       8.318    
   35.00       325.0       4.374       8.134       3.585       7.548    
   35.00       330.0       4.257       8.727       2.847       6.661    
   35.00       335.0       4.122       9.234       2.203       5.681    
   35.00       340.0       3.986       9.649       1.645       4.626    
   35.00       345.0       3.863       9.972       1.163       3.515    
   35.00       350.0       3.766       10.20      0.7410       2.364    
   35.00       355.0       3.705       10.34      0.3599       1.188    
   35.00       360.0       3.683       10.39     -0.7140E-06 -0.2385E-05
   40.00       0.000       2.634       9.433       0.000       0.000    
   40.00       5.000       2.659       9.394     -0.2376      -1.173    
   40.00       10.00       2.734       9.276     -0.4996      -2.337    
   40.00       15.00       2.853       9.078     -0.8094      -3.480    
   40.00       20.00       3.007       8.799      -1.189      -4.591    
   40.00       25.00       3.184       8.436      -1.656      -5.655    
   40.00       30.00       3.368       7.989      -2.226      -6.652    
   40.00       35.00       3.542       7.459      -2.910      -7.562    
   40.00       40.00       3.685       6.851      -3.709      -8.361    
   40.00       45.00       3.777       6.171      -4.621      -9.024    
   40.00       50.00       3.796       5.431      -5.633      -9.526    
   40.00       55.00       3.724       4.649      -6.725      -9.842    
   40.00       60.00       3.544       3.843      -7.869      -9.955    
   40.00       65.00       3.245       3.040      -9.029      -9.849    
   40.00       70.00       2.820       2.265      -10.16      -9.521    
   40.00       75.00       2.272       1.548      -11.23      -8.975    
   40.00       80.00       1.608      0.9158      -12.19      -8.228    
   40.00       85.00      0.8434      0.3931      -12.99      -7.305    
   40.00       90.00     -0.4380E-06 -0.1619E-06  -13.61      -6.241    
   40.00       95.00     -0.8963     -0.2498      -14.01      -5.080    
   40.00       100.0      -1.817     -0.3500      -14.19      -3.870    
   40.00       105.0      -2.733     -0.3018      -14.13      -2.659    
   40.00       110.0      -3.615     -0.1144      -13.85      -1.496    
   40.00       115.0      -4.442      0.1968      -13.35     -0.4237    
   40.00       120.0      -5.192      0.6111      -12.68      0.5220    
   40.00       125.0      -5.853       1.104      -11.85       1.314    
   40.00       130.0      -6.418       1.649      -10.90       1.933    
   40.00       135.0      -6.885       2.221      -9.857       2.371    
   40.00       140.0      -7.259       2.795      -8.761       2.629    
   40.00       145.0      -7.548       3.348      -7.635       2.713    
   40.00       150.0      -7.763       3.861      -6.500       2.638    
   40.00       155.0      -7.915       4.318      -5.372       2.421    
   40.00       160.0      -8.019       4.707      -4.261       2.083    
   40.00       165.0      -8.085       5.018      -3.170       1.648    
   40.00       170.0      -8.125       5.245      -2.100       1.140    
   40.00       175.0      -8.145       5.383      -1.046      0.5822    
   40.00       180.0      -8.152       5.429      0.1046E-05 -0.5873E-06
   40.00       185.0      -8.145       5.383       1.046     -0.5822    
   40.00       190.0      -8.125       5.245       2.100      -1.140    
   40.00       195.0      -8.085       5.018       3.170      -1.648    
   40.00       200.0      -8.019       4.707       4.261      -2.083    
   40.00       205.0      -7.915       4.318       5.372      -2.421    
   40.00       210.0      -7.763       3.861       6.500      -2.638    
   40.00       215.0      -7.548       3.348       7.635      -2.713    
   40.00       220.0      -7.259       2.795       8.761      -2.629    
   40.00       225.0      -6.885       2.221       9.857      -2.371    
   40.00       230.0      -6.418       1.649       10.90      -1.933    
   40.00       235.0      -5.853       1.104       11.85      -1.314    
   40.00       240.0      -5.192      0.6111       12.68     -0.5220    
   40.00       245.0      -4.442      0.1968       13.35      0.4237    
   40.00       250.0      -3.615     -0.1144       13.85       1.496    
   40.00       255.0      -2.733     -0.3018       14.13       2.659    
   40.00       260.0      -1.817     -0.3500       14.19       3.870    
   40.00       265.0     -0.8963     -0.2498       14.01       5.080    
   40.00       270.0      0.1195E-06  0.4416E-07   13.61       6.241    
   40.00       275.0      0.8434      0.3931       12.99       7.305    
   40.00       280.0       1.608      0.9158       12.19       8.228    
   40.00       285.0       2.272       1.548       11.23       8.975    
   40.00       290.0       2.820       2.265       10.16       9.521    
   40.00       295.0       3.245       3.040       9.029       9.849    
   40.00       300.0       3.544       3.843       7.869       9.955    
   40.00       305.0       3.724       4.649       6.725       9.842    
   40.00       310.0       3.796       5.431       5.633       9.526    
   40.00       315.0       3.777       6.171       4.621       9.024    
   40.00       320.0       3.685       6.851       3.709       8.361    
   40.00       325.0       3.542       7.459       2.910       7.562    
   40.00       330.0       3.368       7.989       2.226       6.652    
   40.00       335.0       3.184       8.436       1.656       5.655    
   40.00       340.0       3.007       8.799       1.189       4.591    
   40.00       345.0       2.853       9.078      0.8094       3.480    
   40.00       350.0       2.734       9.276      0.4996       2.337    
   40.00       355.0       2.659       9.394      0.2376       1.173    
   40.00       360.0       2.634       9.433     -0.4679E-06 -0.2354E-05
   45.00       0.000       1.864       8.294       0.000       0.000    
   45.00       5.000       1.891       8.262     -0.1277      -1.133    
   45.00       10.00       1.971       8.164     -0.2819      -2.260    
   45.00       15.00       2.099       8.000     -0.4882      -3.373    
   45.00       20.00       2.266       7.765     -0.7707      -4.462    
   45.00       25.00       2.460       7.458      -1.151      -5.513    
   45.00       30.00       2.667       7.075      -1.646      -6.509    
   45.00       35.00       2.870       6.616      -2.269      -7.428    
   45.00       40.00       3.049       6.083      -3.026      -8.244    
   45.00       45.00       3.182       5.483      -3.913      -8.930    
   45.00       50.00       3.249       4.823      -4.921      -9.455    
   45.00       55.00       3.229       4.121      -6.029      -9.792    
   45.00       60.00       3.107       3.394      -7.206      -9.917    
   45.00       65.00       2.869       2.669      -8.413      -9.812    
   45.00       70.00       2.511       1.971      -9.604      -9.469    
   45.00       75.00       2.032       1.329      -10.73      -8.891    
   45.00       80.00       1.442      0.7705      -11.74      -8.095    
   45.00       85.00      0.7574      0.3210      -12.60      -7.107    
   45.00       90.00     -0.3932E-06 -0.1261E-06  -13.25      -5.968    
   45.00       95.00     -0.8028     -0.1796      -13.67      -4.726    
   45.00       100.0      -1.621     -0.2126      -13.84      -3.435    
   45.00       105.0      -2.426     -0.1021      -13.77      -2.150    
   45.00       110.0      -3.189      0.1408      -13.46     -0.9259    
   45.00       115.0      -3.887      0.4988      -12.92      0.1913    
   45.00       120.0      -4.503      0.9493      -12.20       1.162    
   45.00       125.0      -5.026       1.467      -11.33       1.958    
   45.00       130.0      -5.451       2.025      -10.35       2.562    
   45.00       135.0      -5.782       2.597      -9.287       2.968    
   45.00       140.0      -6.026       3.161      -8.186       3.178    
   45.00       145.0      -6.193       3.696      -7.075       3.204    
   45.00       150.0      -6.297       4.185      -5.975       3.063    
   45.00       155.0      -6.354       4.615      -4.900       2.776    
   45.00       160.0      -6.377       4.977      -3.861       2.366    
   45.00       165.0      -6.379       5.264      -2.856       1.859    
   45.00       170.0      -6.373       5.471      -1.884       1.280    
   45.00       175.0      -6.366       5.596     -0.9359      0.6517    
   45.00       180.0      -6.363       5.638      0.9354E-06 -0.6569E-06
   45.00       185.0      -6.366       5.596      0.9359     -0.6517    
   45.00       190.0      -6.373       5.471       1.884      -1.280    
   45.00       195.0      -6.379       5.264       2.856      -1.859    
   45.00       200.0      -6.377       4.977       3.861      -2.366    
   45.00       205.0      -6.354       4.615       4.900      -2.776    
   45.00       210.0      -6.297       4.185       5.975      -3.063    
   45.00       215.0      -6.193       3.696       7.075      -3.204    
   45.00       220.0      -6.026       3.161       8.186      -3.178    
   45.00       225.0      -5.782       2.597       9.287      -2.968    
   45.00       230.0      -5.451       2.025       10.35      -2.562    
   45.00       235.0      -5.026       1.467       11.33      -1.958    
   45.00       240.0      -4.503      0.9493       12.20      -1.162    
   45.00       245.0      -3.887      0.4988       12.92     -0.1913    
   45.00       250.0      -3.189      0.1408       13.46      0.9259    
   45.00       255.0      -2.426     -0.1021       13.77       2.150    
   45.00       260.0      -1.621     -0.2126       13.84       3.435    
   45.00       265.0     -0.8028     -0.1796       13.67       4.726    
   45.00       270.0      0.1073E-06  0.3441E-07   13.25       5.968    
   45.00       275.0      0.7574      0.3210       12.60       7.107    
   45.00       280.0       1.442      0.7705       11.74       8.095    
   45.00       285.0       2.032       1.329       10.73       8.891    
   45.00       290.0       2.511       1.971       9.604       9.469    
   45.00       295.0       2.869       2.669       8.413       9.812    
   45.00       300.0       3.107       3.394       7.206       9.917    
   45.00       305.0       3.229       4.121       6.029       9.792    
   45.00       310.0       3.249       4.823       4.921       9.455    
   45.00       315.0       3.182       5.483       3.913       8.930    
   45.00       320.0       3.049       6.083       3.026       8.244    
   45.00       325.0       2.870       6.616       2.269       7.428    
   45.00       330.0       2.667       7.075       1.646       6.509    
   45.00       335.0       2.460       7.458       1.151       5.513    
   45.00       340.0       2.266       7.765      0.7707       4.462    
   45.00       345.0       2.099       8.000      0.4882       3.373    
   45.00       350.0       1.971       8.164      0.2819       2.260    
   45.00       355.0       1.891       8.262      0.1277       1.133    
   45.00       360.0       1.864       8.294     -0.2470E-06 -0.2273E-05
   50.00       0.000       1.371       7.057       0.000       0.000    
   50.00       5.000       1.397       7.031     -0.3378E-01  -1.070    
   50.00       10.00       1.474       6.952     -0.9497E-01  -2.137    
   50.00       15.00       1.598       6.818     -0.2104      -3.197    
   50.00       20.00       1.762       6.625     -0.4054      -4.241    
   50.00       25.00       1.954       6.370     -0.7033      -5.258    
   50.00       30.00       2.161       6.050      -1.124      -6.232    
   50.00       35.00       2.366       5.662      -1.682      -7.141    
   50.00       40.00       2.552       5.207      -2.385      -7.959    
   50.00       45.00       2.699       4.690      -3.234      -8.654    
   50.00       50.00       2.785       4.119      -4.218      -9.196    
   50.00       55.00       2.793       3.507      -5.317      -9.551    
   50.00       60.00       2.706       2.873      -6.501      -9.691    
   50.00       65.00       2.511       2.239      -7.728      -9.595    
   50.00       70.00       2.205       1.633      -8.948      -9.252    
   50.00       75.00       1.788       1.081      -10.11      -8.662    
   50.00       80.00       1.269      0.6100      -11.15      -7.840    
   50.00       85.00      0.6655      0.2435      -12.03      -6.816    
   50.00       90.00     -0.3444E-06 -0.8900E-07  -12.70      -5.633    
   50.00       95.00     -0.7001     -0.1094      -13.13      -4.344    
   50.00       100.0      -1.406     -0.8131E-01  -13.30      -3.007    
   50.00       105.0      -2.088      0.7907E-01  -13.20      -1.683    
   50.00       110.0      -2.720      0.3591      -12.86     -0.4289    
   50.00       115.0      -3.283      0.7400      -12.30      0.7033    
   50.00       120.0      -3.760       1.198      -11.55       1.674    
   50.00       125.0      -4.145       1.709      -10.65       2.454    
   50.00       130.0      -4.436       2.246      -9.653       3.029    
   50.00       135.0      -4.639       2.786      -8.593       3.394    
   50.00       140.0      -4.764       3.307      -7.509       3.555    
   50.00       145.0      -4.824       3.793      -6.432       3.528    
   50.00       150.0      -4.835       4.230      -5.385       3.332    
   50.00       155.0      -4.812       4.609      -4.380       2.992    
   50.00       160.0      -4.770       4.924      -3.425       2.533    
   50.00       165.0      -4.722       5.170      -2.519       1.979    
   50.00       170.0      -4.681       5.347      -1.654       1.357    
   50.00       175.0      -4.652       5.453     -0.8190      0.6897    
   50.00       180.0      -4.642       5.489      0.8177E-06 -0.6946E-06
   50.00       185.0      -4.652       5.453      0.8190     -0.6897    
   50.00       190.0      -4.681       5.347       1.654      -1.357    
   50.00       195.0      -4.722       5.170       2.519      -1.979    
   50.00       200.0      -4.770       4.924       3.425      -2.533    
   50.00       205.0      -4.812       4.609       4.380      -2.992    
   50.00       210.0      -4.835       4.230       5.385      -3.332    
   50.00       215.0      -4.824       3.793       6.432      -3.528    
   50.00       220.0      -4.764       3.307       7.509      -3.555    
   50.00       225.0      -4.639       2.786       8.593      -3.394    
   50.00       230.0      -4.436       2.246       9.653      -3.029    
   50.00       235.0      -4.145       1.709       10.65      -2.454    
   50.00       240.0      -3.760       1.198       11.55      -1.674    
   50.00       245.0      -3.283      0.7399       12.30     -0.7033    
   50.00       250.0      -2.720      0.3591       12.86      0.4289    
   50.00       255.0      -2.088      0.7907E-01   13.20       1.683    
   50.00       260.0      -1.406     -0.8131E-01   13.30       3.007    
   50.00       265.0     -0.7001     -0.1094       13.13       4.344    
   50.00       270.0      0.9396E-07  0.2428E-07   12.70       5.633    
   50.00       275.0      0.6655      0.2435       12.03       6.816    
   50.00       280.0       1.269      0.6100       11.15       7.840    
   50.00       285.0       1.788       1.081       10.11       8.662    
   50.00       290.0       2.205       1.633       8.948       9.252    
   50.00       295.0       2.511       2.239       7.728       9.595    
   50.00       300.0       2.706       2.873       6.501       9.691    
   50.00       305.0       2.793       3.507       5.317       9.551    
   50.00       310.0       2.785       4.119       4.218       9.196    
   50.00       315.0       2.699       4.690       3.234       8.654    
   50.00       320.0       2.552       5.207       2.385       7.959    
   50.00       325.0       2.366       5.662       1.682       7.141    
   50.00       330.0       2.161       6.050       1.124       6.232    
   50.00       335.0       1.954       6.370      0.7033       5.258    
   50.00       340.0       1.762       6.625      0.4054       4.241    
   50.00       345.0       1.598       6.818      0.2104       3.197    
   50.00       350.0       1.474       6.952      0.9497E-01   2.137    
   50.00       355.0       1.397       7.031      0.3378E-01   1.070    
   50.00       360.0       1.371       7.057     -0.5849E-07 -0.2145E-05
   55.00       0.000       1.121       5.803       0.000       0.000    
   55.00       5.000       1.144       5.782      0.4113E-01 -0.9858    
   55.00       10.00       1.213       5.718      0.5512E-01  -1.971    
   55.00       15.00       1.325       5.610      0.1525E-01  -2.955    
   55.00       20.00       1.471       5.453     -0.1042      -3.932    
   55.00       25.00       1.644       5.245     -0.3273      -4.893    
   55.00       30.00       1.832       4.980     -0.6749      -5.823    
   55.00       35.00       2.019       4.658      -1.164      -6.701    
   55.00       40.00       2.189       4.277      -1.803      -7.500    
   55.00       45.00       2.324       3.842      -2.596      -8.190    
   55.00       50.00       2.406       3.359      -3.535      -8.735    
   55.00       55.00       2.418       2.842      -4.599      -9.101    
   55.00       60.00       2.345       2.307      -5.759      -9.256    
   55.00       65.00       2.177       1.775      -6.971      -9.176    
   55.00       70.00       1.909       1.270      -8.186      -8.845    
   55.00       75.00       1.544      0.8174      -9.346      -8.263    
   55.00       80.00       1.092      0.4419      -10.39      -7.444    
   55.00       85.00      0.5700      0.1642      -11.27      -6.418    
   55.00       90.00     -0.2932E-06 -0.5207E-07  -11.94      -5.230    
   55.00       95.00     -0.5917     -0.4209E-01  -12.36      -3.933    
   55.00       100.0      -1.178      0.3874E-01  -12.52      -2.592    
   55.00       105.0      -1.731      0.2354      -12.41      -1.269    
   55.00       110.0      -2.229      0.5338      -12.05     -0.2434E-01
   55.00       115.0      -2.655      0.9146      -11.47       1.090    
   55.00       120.0      -2.997       1.355      -10.71       2.032    
   55.00       125.0      -3.252       1.831      -9.812       2.776    
   55.00       130.0      -3.420       2.319      -8.823       3.308    
   55.00       135.0      -3.512       2.798      -7.788       3.627    
   55.00       140.0      -3.537       3.252      -6.746       3.741    
   55.00       145.0      -3.511       3.666      -5.726       3.670    
   55.00       150.0      -3.449       4.032      -4.750       3.435    
   55.00       155.0      -3.367       4.344      -3.831       3.062    
   55.00       160.0      -3.279       4.599      -2.972       2.577    
   55.00       165.0      -3.198       4.796      -2.171       2.005    
   55.00       170.0      -3.132       4.936      -1.418       1.371    
   55.00       175.0      -3.090       5.019     -0.7001      0.6952    
   55.00       180.0      -3.075       5.047      0.6983E-06 -0.6998E-06
   55.00       185.0      -3.090       5.019      0.7001     -0.6952    
   55.00       190.0      -3.132       4.936       1.418      -1.371    
   55.00       195.0      -3.198       4.796       2.171      -2.005    
   55.00       200.0      -3.279       4.599       2.972      -2.577    
   55.00       205.0      -3.367       4.344       3.831      -3.062    
   55.00       210.0      -3.449       4.032       4.750      -3.435    
   55.00       215.0      -3.511       3.666       5.726      -3.670    
   55.00       220.0      -3.537       3.252       6.746      -3.741    
   55.00       225.0      -3.512       2.798       7.788      -3.627    
   55.00       230.0      -3.420       2.319       8.823      -3.308    
   55.00       235.0      -3.252       1.831       9.812      -2.776    
   55.00       240.0      -2.997       1.355       10.71      -2.032    
   55.00       245.0      -2.655      0.9146       11.47      -1.090    
   55.00       250.0      -2.229      0.5338       12.05      0.2432E-01
   55.00       255.0      -1.731      0.2354       12.41       1.269    
   55.00       260.0      -1.178      0.3874E-01   12.52       2.592    
   55.00       265.0     -0.5917     -0.4209E-01   12.36       3.933    
   55.00       270.0      0.8000E-07  0.1420E-07   11.94       5.230    
   55.00       275.0      0.5700      0.1642       11.27       6.418    
   55.00       280.0       1.092      0.4419       10.39       7.444    
   55.00       285.0       1.544      0.8174       9.346       8.263    
   55.00       290.0       1.909       1.270       8.186       8.845    
   55.00       295.0       2.177       1.775       6.971       9.176    
   55.00       300.0       2.345       2.307       5.759       9.256    
   55.00       305.0       2.418       2.842       4.599       9.101    
   55.00       310.0       2.406       3.359       3.535       8.735    
   55.00       315.0       2.324       3.842       2.596       8.190    
   55.00       320.0       2.189       4.277       1.803       7.500    
   55.00       325.0       2.019       4.658       1.164       6.701    
   55.00       330.0       1.832       4.980      0.6749       5.823    
   55.00       335.0       1.644       5.245      0.3273       4.893    
   55.00       340.0       1.471       5.453      0.1042       3.932    
   55.00       345.0       1.325       5.610     -0.1525E-01   2.955    
   55.00       350.0       1.213       5.718     -0.5512E-01   1.971    
   55.00       355.0       1.144       5.782     -0.4113E-01  0.9858    
   55.00       360.0       1.121       5.803      0.9149E-07 -0.1975E-05
   60.00       0.000       1.058       4.603       0.000       0.000    
   60.00       5.000       1.078       4.586      0.9496E-01 -0.8826    
   60.00       10.00       1.135       4.534      0.1642      -1.768    
   60.00       15.00       1.228       4.446      0.1823      -2.655    
   60.00       20.00       1.349       4.317      0.1243      -3.544    
